objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
riverscigeophoto,Aerial photography of the contemporary Rivers Correctional Facility,The Geo Group,2018,A photography found in the The Geo Group website description of the facilities that they operate,prison,"Winton, North Carolina",36.40435851,-76.958751,The Geo Group website,,Image;StillImage,image/jpeg,eng,,,image,https://www.geogroup.com/facilitydetail/facilityid/78,objects/small/riverscigeophoto_sm.jpg,objects/thumbs/riverscigeophoto_th.jpg,,
cemeterypanorama,A contemporary panorama of the cemetery,Andreina Malki,2023,A photograph I took in October of 2023 during a site visit,cemetery; prison,"Winton, North Carolina",36.40435851,-76.958751,Andreina Malki,,Image;StillImage,image/jpeg,eng,,,image,objects/cemeterypanorama.jpeg,objects/small/cemeterypanorama_sm.jpg,objects/thumbs/cemeterypanorama_th.jpg,,
2023vanncemeteryvideo,A contemporary video of the site,Andreina Malki,2023,A video I  took in October of 2023 during a site visit,cemetery; prison; Vann family,"Winton, North Carolina",36.40435851,-76.958751,Andreina malki,,,video/mov,eng,,,video,objects/2023vanncemeteryvideo.mov,,,,
johnmarthaheadstone2,The headstones of John Vann and Martha Vann,Andreina Malki,2023,A photograph of the tombstones of John Vann and Martha Vann. You can see the prison in the background.,cemtery; prison; Vann family,"Winton, North Carolina",36.40435851,-76.958751,Andreina Malki,,Image;StillImage,image/jpeg,eng,,,image,/objects/johnmarthaheadstone2.jpeg,objects/small/johnmarthaheadstone2_sm.jpg,objects/thumbs/johnmarthaheadstone2_th.jpg,,
vanncemeteryinterments,List of people interred in the cemetery,Ronald W. Anthony; Andrew N. Ash,1983,This list documents the people interred in the Vann Cemetery. It is from a archeological report in the 1980s,cemetery,,,,North Carolina Office of State Archaeology,doi:10.6067/XCV800038F,Image;StillImage,application/pdf,eng,,,image,objects/vanncemeteryinterments1.pdf,objects/small/vanncemeteryinterments1_sm.jpg,objects/thumbs/vanncemeteryinterments1_th.jpg,,
vanncemeteryinterments2,List of people interred in the cemetery (continued),Ronald W. Anthony; Andrew N. Ash,1983,This list documents the people interred in the Vann Cemetery. It is from a archeological report in the 1980s,cemetery,,,,North Carolina Office of State Archaeology,doi:10.6067/XCV800038F,Image;StillImage,application/pdf,eng,,,image,objects/vanncemeteryinterments2.pdf,objects/small/vanncemeteryinterments2_sm.jpg,objects/thumbs/vanncemeteryinterments2_th.jpg,,
vanncemeterymap,A map of the Vann Cemetery,Ronald W. Anthony; Andrew N. Ash,1983,This diagram of the Vann Cemetery is from an archeological report in the 1980s,cemetery; map,"Winton, North Carolina",36.40435851,-76.958751,North Carolina Office of State Archaeology,doi:10.6067/XCV800038F,Image;StillImage,application/pdf,eng,,,image,objects/vanncemeterymap.pdf,objects/small/vanncemeterymap_sm.jpg,objects/thumbs/vanncemeterymap_th.jpg,,
vanncemeteryarcheologicalphoto,A photo of the Vann Cemetery from the 1980s,Ronald W. Anthony; Andrew N. Ash,1983,This photo was included in an archeological report in the 1980s,,"Winton, North Carolina",36.40435851,-76.958751,North Carolina Office of State Archaeology,doi:10.6067/XCV800038F,Image;StillImage,image/png,eng,,,image,objects/vanncemeteryarcheologicalreportphoto.png,objects/small/vanncemeteryarcheologicalreportphoto_sm.jpg,objects/thumbs/vanncemeteryarcheologicalreportphoto_th.jpg,,
vanncemeteryhistoricalrecord,Historical Record of the Vann Cemetery,Gwendolyn P. Hawks,1983,This is a historical record of the Vann cemetery,,"Winton, North Carolina",,,"Historical Records
Survey of North Carolina.",,Image;StillImage,image/png,eng,,,image,objects/vanncemeteryhistoricalrecord.png,objects/small/vanncemeteryhistoricalrecord_sm.jpg,objects/thumbs/vanncemeteryhistoricalrecord_th.jpg,,
